ano_entre,ano_sortie,entre_id,sortie_id
875,125,5170,805
875,125,5171,806
875,125,5172,807
875,125,5173,808
875,125,5174,809
875,125,5175,810
875,125,5176,811
875,125,5177,812
875,125,5178,813
875,125,5181,814
875,125,5179,815
875,125,5180,816
875,125,5182,817
875,125,5183,818
875,125,5185,819
875,125,5184,820
875,125,5186,821
875,125,5188,822
875,125,5187,823
875,125,5189,824
875,125,5190,825
875,125,5192,826
875,125,5191,827
875,125,5193,828
875,125,5194,829
875,125,5195,830
875,125,5196,831
875,125,5197,832
875,125,5198,833
875,125,5199,834
875,125,5200,835
1010,126,5866,836
1010,126,5867,837
1010,126,5868,838
1010,126,5869,839
1010,126,5870,840
1010,126,5871,841
1010,126,5872,842
1010,126,5873,843
1941,127,11414,844
1941,127,11415,845
1941,127,11417,846
1941,127,11416,847
889,128,5389,848
889,128,5390,849
889,128,5391,850
889,128,5392,851
889,128,5393,852
889,128,5394,853
1570,129,9286,854
296,130,1706,855
296,130,1707,856
296,130,1708,857
296,130,1709,858
296,130,1710,859
296,130,1711,860
296,130,1712,861
296,130,1713,862
296,130,1714,863
296,130,1715,864
296,130,1716,865
296,130,1717,866
296,130,1718,867
296,130,1719,868
296,130,1720,869
296,130,1721,870
296,130,1722,871
296,130,1723,872
296,130,1726,873
296,130,1724,874
296,130,1725,875
296,130,1727,876
296,130,1728,877
296,130,1729,878
296,130,1730,879
296,130,1731,880
296,130,1732,881
296,130,1733,882
296,130,1734,883
296,130,1735,884
296,130,1736,885
296,130,1737,886
296,130,1738,887
296,130,1739,888
296,130,1740,889
296,130,1741,890
296,130,1742,891
296,130,1743,892
296,130,1744,893
296,130,1745,894
296,130,1746,895
296,130,1747,896
296,130,1748,897
296,130,1749,898
296,130,1750,899
296,130,1751,900
296,130,1752,901
296,130,1753,902
296,130,1754,903
296,130,1755,904
296,130,1756,905
296,130,1757,906
296,130,1758,907
296,130,1759,908
296,130,1760,909
296,130,1761,910
296,130,1762,911
296,130,1763,912
296,130,1764,913
296,130,1765,914
296,130,1766,915
296,130,1767,916
296,130,1768,917
296,130,1769,918
296,130,1770,919
296,130,1771,920
296,130,1772,921
296,130,1773,922
296,130,1774,923
296,130,1775,924
296,130,1776,925
296,130,1777,926
296,130,1778,927
296,130,1779,928
296,130,1780,929
296,130,1781,930
296,130,1782,931
296,130,1783,932
296,130,1784,933
296,130,1785,934
296,130,1786,935
296,130,1787,936
296,130,1788,937
296,130,1789,938
296,130,1790,939
296,130,1791,940
296,130,1792,941
296,130,1793,942
296,130,1794,943
296,130,1795,944
296,130,1796,945
296,130,1797,946
296,130,1798,947
296,130,1799,948
296,130,1800,949
296,130,1802,950
296,130,1801,951
296,130,1805,952
296,130,1803,953
296,130,1804,954
296,130,1806,955
1043,131,5965,956
1847,132,10934,957
1636,133,9504,958
1246,134,7088,959
1246,134,7090,960
1246,134,7089,961
1246,134,7091,962
783,135,4494,963
783,135,4495,964
783,135,4496,965
783,135,4497,966
783,135,4498,967
783,135,4499,968
783,135,4500,969
783,135,4501,970
783,135,4502,971
783,135,4503,972
783,135,4504,973
783,135,4505,974
783,135,4506,975
783,135,4507,976
783,135,4508,977
783,135,4509,978
783,135,4510,979
783,135,4511,980
783,135,4513,981
783,135,4512,982
783,135,4514,983
783,135,4515,984
783,135,4516,985
783,135,4517,986
783,135,4518,987
783,135,4519,988
783,135,4520,989
783,135,4526,990
783,135,4522,991
783,135,4521,992
783,135,4523,993
783,135,4524,994
783,135,4525,995
783,135,4527,996
783,135,4528,997
783,135,4529,998
783,135,4530,999
783,135,4531,1000
783,135,4532,1001
783,135,4533,1002
783,135,4535,1003
783,135,4534,1004
783,135,4536,1005
783,135,4537,1006
783,135,4538,1007
783,135,4539,1008
783,135,4540,1009
783,135,4541,1010
783,135,4542,1011
783,135,4544,1012
783,135,4546,1013
783,135,4543,1014
783,135,4545,1015
783,135,4547,1016
783,135,4548,1017
783,135,4549,1018
783,135,4550,1019
783,135,4551,1020
783,135,4552,1021
783,135,4553,1022
783,135,4554,1023
783,135,4555,1024
783,135,4556,1025
783,135,4558,1026
783,135,4557,1027
783,135,4559,1028
783,135,4560,1029
783,135,4561,1030
783,135,4562,1031
783,135,4563,1032
783,135,4564,1033
783,135,4565,1034
783,135,4566,1035
783,135,4567,1036
783,135,4568,1037
783,135,4570,1038
783,135,4569,1039
783,135,4571,1040
783,135,4572,1041
783,135,4573,1042
783,135,4574,1043
783,135,4575,1044
783,135,4577,1045
783,135,4576,1046
783,135,4578,1047
783,135,4579,1048
783,135,4580,1049
783,135,4581,1050
783,135,4582,1051
783,135,4583,1052
783,135,4584,1053
783,135,4585,1054
783,135,4586,1055
783,135,4587,1056
783,135,4588,1057
783,135,4589,1058
783,135,4590,1059
783,135,4591,1060
783,135,4592,1061
783,135,4593,1062
783,135,4594,1063
783,135,4595,1064
783,135,4596,1065
783,135,4597,1066
783,135,4598,1067
783,135,4599,1068
783,135,4600,1069
783,135,4601,1070
783,135,4602,1071
783,135,4603,1072
783,135,4604,1073
783,135,4605,1074
783,135,4606,1075
783,135,4607,1076
783,135,4608,1077
783,135,4609,1078
783,135,4610,1079
783,135,4611,1080
783,135,4612,1081
783,135,4613,1082
783,135,4614,1083
783,135,4615,1084
783,135,4616,1085
783,135,4617,1086
783,135,4618,1087
783,135,4621,1088
783,135,4619,1089
783,135,4620,1090
783,135,4622,1091
783,135,4623,1092
783,135,4624,1093
783,135,4625,1094
783,135,4626,1095
783,135,4627,1096
783,135,4628,1097
783,135,4629,1098
783,135,4630,1099
783,135,4631,1100
783,135,4632,1101
783,135,4633,1102
783,135,4634,1103
783,135,4635,1104
783,135,4636,1105
783,135,4637,1106
783,135,4638,1107
783,135,4639,1108
783,135,4640,1109
783,135,4641,1110
783,135,4642,1111
783,135,4643,1112
783,135,4644,1113
783,135,4645,1114
783,135,4646,1115
783,135,4647,1116
783,135,4648,1117
783,135,4649,1118
783,135,4650,1119
783,135,4651,1120
783,135,4652,1121
783,135,4660,1122
783,135,4653,1123
783,135,4654,1124
783,135,4655,1125
783,135,4656,1126
783,135,4657,1127
783,135,4658,1128
783,135,4659,1129
783,135,4661,1130
783,135,4662,1131
783,135,4663,1132
783,135,4664,1133
783,135,4665,1134
783,135,4666,1135
783,135,4667,1136
783,135,4668,1137
783,135,4669,1138
783,135,4670,1139
783,135,4671,1140
783,135,4672,1141
783,135,4673,1142
783,135,4674,1143
783,135,4675,1144
783,135,4676,1145
783,135,4677,1146
783,135,4683,1147
783,135,4678,1148
783,135,4679,1149
783,135,4680,1150
783,135,4681,1151
783,135,4682,1152
783,135,4684,1153
783,135,4685,1154
783,135,4686,1155
783,135,4687,1156
783,135,4688,1157
783,135,4689,1158
783,135,4690,1159
783,135,4691,1160
783,135,4692,1161
783,135,4693,1162
783,135,4694,1163
783,135,4695,1164
783,135,4696,1165
783,135,4697,1166
783,135,4698,1167
783,135,4699,1168
783,135,4700,1169
783,135,4701,1170
783,135,4702,1171
783,135,4703,1172
783,135,4704,1173
783,135,4705,1174
783,135,4706,1175
783,135,4707,1176
783,135,4708,1177
783,135,4709,1178
783,135,4710,1179
783,135,4711,1180
783,135,4712,1181
783,135,4713,1182
783,135,4714,1183
783,135,4715,1184
783,135,4716,1185
783,135,4717,1186
1507,136,8689,1187
1507,136,8690,1188
1507,136,8691,1189
1507,136,8692,1190
1507,136,8693,1191
1507,136,8694,1192
1507,136,8696,1193
1507,136,8695,1194
1507,136,8697,1195
1507,136,8698,1196
1507,136,8699,1197
1507,136,8700,1198
1507,136,8701,1199
1507,136,8702,1200
1507,136,8703,1201
1507,136,8704,1202
1507,136,8705,1203
1507,136,8707,1204
1507,136,8706,1205
1507,136,8708,1206
1507,136,8709,1207
1507,136,8710,1208
1507,136,8711,1209
1507,136,8712,1210
1507,136,8714,1211
1507,136,8713,1212
1507,136,8715,1213
1507,136,8716,1214
1507,136,8717,1215
1507,136,8720,1216
1507,136,8718,1217
1507,136,8719,1218
1507,136,8723,1219
1507,136,8721,1220
1507,136,8722,1221
1507,136,8724,1222
1507,136,8725,1223
1507,136,8727,1224
1507,136,8729,1225
1507,136,8730,1226
1507,136,8726,1227
1507,136,8728,1228
1507,136,8731,1229
1507,136,8732,1230
1507,136,8734,1231
1507,136,8735,1232
1507,136,8738,1233
1507,136,8739,1234
1507,136,8740,1235
1507,136,8741,1236
1507,136,8733,1237
1507,136,8736,1238
1507,136,8737,1239
1507,136,8744,1240
1507,136,8745,1241
1507,136,8742,1242
1507,136,8743,1243
1507,136,8746,1244
1507,136,8747,1245
1507,136,8748,1246
1507,136,8749,1247
1507,136,8751,1248
1507,136,8750,1249
1507,136,8753,1250
1507,136,8754,1251
1507,136,8752,1252
1507,136,8755,1253
1507,136,8756,1254
1507,136,8757,1255
1507,136,8759,1256
1507,136,8760,1257
1507,136,8761,1258
1507,136,8762,1259
1507,136,8758,1260
1507,136,8763,1261
1507,136,8764,1262
1507,136,8765,1263
1507,136,8766,1264
1507,136,8767,1265
1507,136,8768,1266
1507,136,8769,1267
1507,136,8770,1268
1507,136,8772,1269
1507,136,8773,1270
1507,136,8771,1271
1507,136,8774,1272
1507,136,8775,1273
1507,136,8776,1274
1507,136,8777,1275
1507,136,8778,1276
1507,136,8779,1277
1507,136,8780,1278
1507,136,8781,1279
1507,136,8782,1280
1507,136,8783,1281
1507,136,8784,1282
1507,136,8787,1283
1507,136,8785,1284
1507,136,8786,1285
1507,136,8788,1286
1507,136,8789,1287
1507,136,8790,1288
1507,136,8791,1289
1507,136,8794,1290
1507,136,8795,1291
1507,136,8792,1292
1507,136,8793,1293
1507,136,8796,1294
1507,136,8797,1295
1507,136,8798,1296
1507,136,8800,1297
1507,136,8799,1298
1507,136,8801,1299
1507,136,8804,1300
1507,136,8802,1301
1507,136,8803,1302
1507,136,8805,1303
1507,136,8807,1304
1507,136,8812,1305
1507,136,8813,1306
1507,136,8806,1307
1507,136,8808,1308
1507,136,8809,1309
1507,136,8810,1310
1507,136,8811,1311
1507,136,8814,1312
1507,136,8816,1313
1507,136,8815,1314
1507,136,8818,1315
1507,136,8819,1316
1507,136,8817,1317
1507,136,8823,1318
1507,136,8825,1319
1507,136,8820,1320
1507,136,8824,1321
1507,136,8821,1322
1507,136,8822,1323
1507,136,8826,1324
1507,136,8827,1325
1507,136,8828,1326
1507,136,8831,1327
1507,136,8833,1328
1507,136,8829,1329
1507,136,8830,1330
1507,136,8832,1331
1507,136,8838,1332
1507,136,8834,1333
1507,136,8835,1334
1507,136,8836,1335
1507,136,8837,1336
1507,136,8839,1337
1507,136,8840,1338
1507,136,8841,1339
1507,136,8842,1340
1507,136,8843,1341
1507,136,8845,1342
1507,136,8844,1343
1507,136,8846,1344
1507,136,8847,1345
1507,136,8849,1346
1507,136,8850,1347
1507,136,8848,1348
1507,136,8852,1349
1507,136,8851,1350
1507,136,8853,1351
1507,136,8854,1352
1507,136,8856,1353
1507,136,8855,1354
1507,136,8858,1355
1507,136,8859,1356
1507,136,8860,1357
1507,136,8857,1358
1507,136,8861,1359
1507,136,8862,1360
1507,136,8863,1361
1507,136,8865,1362
1507,136,8866,1363
1507,136,8867,1364
1507,136,8864,1365
1507,136,8868,1366
1507,136,8869,1367
1507,136,8870,1368
1507,136,8871,1369
1507,136,8873,1370
1507,136,8874,1371
1507,136,8872,1372
1507,136,8875,1373
1507,136,8876,1374
1507,136,8877,1375
1507,136,8878,1376
1507,136,8879,1377
1507,136,8881,1378
1507,136,8880,1379
1507,136,8882,1380
1507,136,8883,1381
1507,136,8886,1382
1507,136,8884,1383
1507,136,8885,1384
1507,136,8890,1385
1507,136,8887,1386
1507,136,8888,1387
1507,136,8889,1388
1507,136,8892,1389
1507,136,8891,1390
1507,136,8893,1391
1507,136,8895,1392
1507,136,8894,1393
1507,136,8896,1394
1507,136,8897,1395
1507,136,8898,1396
1507,136,8899,1397
1507,136,8900,1398
1507,136,8902,1399
1507,136,8901,1400
1507,136,8903,1401
1507,136,8904,1402
1507,136,8905,1403
1507,136,8906,1404
1507,136,8907,1405
1507,136,8908,1406
1507,136,8909,1407
1507,136,8911,1408
1507,136,8910,1409
1507,136,8912,1410
1507,136,8914,1411
1507,136,8915,1412
1507,136,8913,1413
1507,136,8916,1414
1507,136,8917,1415
1507,136,8918,1416
111,137,392,1417
111,137,393,1418
634,138,3385,1419
634,138,3386,1420
634,138,3387,1421
634,138,3388,1422
634,138,3389,1423
634,138,3390,1424
634,138,3391,1425
1773,139,10468,1426
89,140,314,1427
1909,141,11160,1428
1909,141,11161,1429
1909,141,11162,1430
1986,142,11585,1431
1149,143,6374,1432
1149,143,6375,1433
1149,143,6377,1434
1149,143,6376,1435
1579,144,9312,1436
1579,144,9313,1437
1579,144,9314,1438
1579,144,9315,1439
1579,144,9316,1440
948,145,5629,1441
948,145,5630,1442
948,145,5631,1443
948,145,5632,1444
948,145,5633,1445
1089,146,6161,1446
1089,146,6162,1447
1089,146,6163,1448
1216,147,6713,1449
1216,147,6714,1450
1216,147,6715,1451
1216,147,6716,1452
1216,147,6717,1453
1216,147,6718,1454
1216,147,6719,1455
1216,147,6720,1456
1216,147,6721,1457
1216,147,6722,1458
1216,147,6723,1459
1216,147,6724,1460
1216,147,6725,1461
1216,147,6726,1462
1216,147,6727,1463
1216,147,6728,1464
1216,147,6729,1465
1216,147,6730,1466
1216,147,6732,1467
1216,147,6733,1468
1216,147,6731,1469
1216,147,6734,1470
1216,147,6735,1471
1216,147,6736,1472
1216,147,6737,1473
1216,147,6738,1474
1216,147,6739,1475
1216,147,6745,1476
1216,147,6741,1477
1216,147,6740,1478
1216,147,6742,1479
1216,147,6743,1480
1216,147,6744,1481
1216,147,6746,1482
1216,147,6747,1483
1216,147,6748,1484
1216,147,6749,1485
1216,147,6750,1486
1216,147,6751,1487
1216,147,6752,1488
1216,147,6754,1489
1216,147,6753,1490
1216,147,6755,1491
1216,147,6756,1492
1216,147,6757,1493
1216,147,6758,1494
1216,147,6759,1495
1216,147,6760,1496
1216,147,6761,1497
1216,147,6763,1498
1216,147,6765,1499
1216,147,6762,1500
1216,147,6764,1501
1216,147,6766,1502
1216,147,6767,1503
1216,147,6768,1504
1216,147,6769,1505
1216,147,6770,1506
1216,147,6771,1507
1216,147,6772,1508
1216,147,6773,1509
1216,147,6774,1510
1216,147,6775,1511
1216,147,6777,1512
1216,147,6776,1513
1216,147,6778,1514
1216,147,6779,1515
1216,147,6780,1516
1216,147,6781,1517
1216,147,6782,1518
1216,147,6783,1519
1216,147,6784,1520
1216,147,6785,1521
1216,147,6786,1522
1216,147,6787,1523
1216,147,6789,1524
1216,147,6788,1525
1216,147,6790,1526
1216,147,6791,1527
1216,147,6792,1528
1216,147,6793,1529
1216,147,6794,1530
1216,147,6796,1531
1216,147,6795,1532
1216,147,6797,1533
1216,147,6798,1534
1216,147,6799,1535
1216,147,6800,1536
1216,147,6801,1537
1216,147,6802,1538
1216,147,6803,1539
1216,147,6804,1540
1216,147,6805,1541
1216,147,6806,1542
1216,147,6807,1543
1216,147,6808,1544
1216,147,6809,1545
1216,147,6810,1546
1216,147,6811,1547
1216,147,6812,1548
1216,147,6813,1549
1216,147,6814,1550
1216,147,6815,1551
1216,147,6816,1552
1216,147,6817,1553
1216,147,6818,1554
